,Instrument,Original Announcement Date Time,Debt - Long-Term - Total,Total Current Assets,Total Current Liabilities,Net Income after Tax,Revenue from Business Activities - Total,Cost of Operating Revenue,Operating Profit before Non-Recurring Income/(Expense),Net Cash Flow from Operating Activities,Total Shareholders' Equity incl Minority Intr & Hybrid Debt
5654,BLL.N,2020-05-07T10:04:48Z,7476000000.0,4241000000.0,4003000000.0,48000000.0,2785000000.0,2385000000.0,245000000.0,-708000000.0,2700000000.0
5655,BLL.N,2020-02-06T11:03:46Z,6337000000.0,4884000000.0,5577000000.0,125000000.0,2719000000.0,2327000000.0,349000000.0,892000000.0,3019000000.0
5656,BLL.N,2019-10-31T10:00:19Z,6623000000.0,3829000000.0,3773000000.0,87000000.0,2953000000.0,2531000000.0,235000000.0,403000000.0,3465000000.0
5657,BLL.N,2019-08-01T10:00:29Z,6916000000.0,4533000000.0,4134000000.0,195000000.0,3017000000.0,2601000000.0,287000000.0,382000000.0,3564000000.0
5658,BLL.N,2019-05-03T17:42:32Z,6719000000.0,4399000000.0,4035000000.0,130000000.0,2785000000.0,2424000000.0,146000000.0,-129000000.0,3649000000.0
5659,BLL.N,2019-01-31T11:01:05Z,6510000000.0,3940000000.0,4095000000.0,213000000.0,2803000000.0,2421000000.0,254000000.0,539000000.0,3562000000.0
5660,BLL.N,2018-11-01T10:07:08Z,6523000000.0,3860000000.0,3813000000.0,52000000.0,2946000000.0,2535000000.0,261000000.0,593000000.0,3745000000.0
5661,BLL.N,2018-08-02T10:02:05Z,7171000000.0,4875000000.0,3954000000.0,120000000.0,3101000000.0,2666000000.0,251000000.0,508000000.0,3995000000.0
5662,VMC.N,2021-05-04T11:07:18Z,2778589000.0,1993008000.0,565857000.0,161670000.0,1068344000.0,839077000.0,135548000.0,169262000.0,6136241000.0
5663,VMC.N,2021-02-16T12:47:57Z,2772240000.0,2277165000.0,1047883000.0,115915000.0,1175119000.0,872378000.0,229850000.0,292433000.0,6027330000.0
5664,VMC.N,2020-11-05T12:30:05Z,2777072000.0,2265333000.0,1069893000.0,201125000.0,1309890000.0,929392000.0,295128000.0,352335000.0,5928352000.0
5665,VMC.N,2020-08-04T11:46:58Z,2785646000.0,2030110000.0,1038749000.0,210957000.0,1322575000.0,926056000.0,301354000.0,343116000.0,5764151000.0
5666,VMC.N,2020-05-06T11:33:05Z,2785566000.0,1276780000.0,475676000.0,59998000.0,1049242000.0,847519000.0,113902000.0,82475000.0,5590326000.0
5667,VMC.N,2020-02-18T16:09:25Z,2784315000.0,1379326000.0,535563000.0,142596000.0,1186152000.0,893071000.0,180806000.0,337993000.0,5621857000.0
5668,VMC.N,2019-11-06T12:49:44Z,2783068000.0,1324242000.0,535284000.0,218066000.0,1418758000.0,1018115000.0,303142000.0,344213000.0,5542239000.0
5669,VMC.N,2019-07-25T12:09:00Z,2781826000.0,1255015000.0,663588000.0,197907000.0,1327682000.0,957180000.0,272623000.0,185752000.0,5371447000.0
5670,VMC.N,2019-05-02T13:10:21Z,2780589000.0,1083851000.0,659607000.0,63935000.0,996511000.0,804836000.0,97136000.0,116164000.0,5217209000.0
5671,VMC.N,2019-02-14T13:17:27Z,2779357000.0,1079145000.0,602550000.0,124875000.0,1088047000.0,812763000.0,179919000.0,260146000.0,5202903000.0
5672,VMC.N,2018-10-30T12:00:06Z,2778129000.0,1175912000.0,690415000.0,179864000.0,1240197000.0,897055000.0,247080000.0,296871000.0,5145789000.0
5673,VMC.N,2018-07-31T17:00:00Z,2776906000.0,1183202000.0,811796000.0,160302000.0,1200151000.0,876967000.0,228147000.0,182792000.0,5020630000.0
5674,ACN.N,2021-03-18T10:58:48Z,59323000.0,19560720000.0,14090668000.0,1461493000.0,12088125000.0,8492893000.0,1653515000.0,2534721000.0,18842427000.0
5675,ACN.N,2020-12-17T11:53:53Z,59881000.0,18626094000.0,12819099000.0,1522057000.0,11762185000.0,7863889000.0,1890669000.0,1602845000.0,18426216000.0
5676,ACN.N,2020-09-24T10:54:53Z,54052000.0,17749756000.0,12662590000.0,1305424000.0,10835271000.0,7394731000.0,1544703000.0,3156134000.0,17499173000.0
5677,ACN.N,2020-06-25T10:50:41Z,60342000.0,16146236000.0,11828281000.0,1252639000.0,10991305000.0,7462617000.0,1712733000.0,2741466000.0,16483645000.0
5678,ACN.N,2020-03-19T10:49:30Z,13183000.0,15405293000.0,11177575000.0,1252082000.0,11141505000.0,7782334000.0,1488945000.0,1530641000.0,15920806000.0
5679,ACN.N,2019-12-19T11:51:55Z,15935000.0,15606104000.0,11199408000.0,1375168000.0,11358958000.0,7711199000.0,1767263000.0,786911000.0,15601208000.0
5680,ACN.N,2019-09-26T10:54:40Z,16247000.0,15450601000.0,11061896000.0,1145548000.0,11055650000.0,7621034000.0,1571493000.0,2116253000.0,14827691000.0
5681,ACN.N,2019-06-27T10:55:57Z,19855000.0,14141660000.0,10551987000.0,1268649000.0,11099688000.0,7571390000.0,1717943000.0,2123542000.0,14142958000.0
5682,ACN.N,2019-03-28T10:55:29Z,19753000.0,13833300000.0,10219049000.0,1140720000.0,10454129000.0,7399780000.0,1386626000.0,1359650000.0,13728545000.0
5683,ACN.N,2018-12-20T11:53:31Z,19896000.0,13540408000.0,10176335000.0,1291324000.0,10605546000.0,7308121000.0,1629012000.0,1027508000.0,13055568000.0
5684,ACN.N,2018-09-27T10:57:12Z,19676000.0,13585559000.0,10151751000.0,1048371000.0,10503987000.0,7266331000.0,1469684000.0,2109258000.0,10724588000.0
5685,ACN.N,2018-06-28T10:53:22Z,25958000.0,12336872000.0,9553596000.0,1099068000.0,10694996000.0,7362981000.0,1634875000.0,1987538000.0,10152736000.0
