Instrument,Original Announcement Date Time,e_p,b_p,ebit_ev,rev_ev
DGX,2019-04-23T10:45:04Z,0.0134694675158819,0.4371379334908941,0.0169327974539701,0.118154686293201
DGX,2019-02-14T11:52:06Z,0.0111202071430837,0.4603412734787668,0.0171521805123854,0.1208538695872674
DGX,2018-10-23T10:52:28Z,0.0143751217084368,0.3605307647347102,0.017806714017749,0.103180622023092
DGX,2018-07-24T10:53:48Z,0.01466674043726,0.3497917137160232,0.0177682411859535,0.1030128544889571
DGX,2018-04-19T17:00:00Z,0.0129230359801381,0.3693344942050834,0.0172324060150271,0.1078599765193064
DGX,2018-02-01T17:00:00Z,0.0188466560964619,0.3665786349829606,0.0183234006474843,0.1084861657382805
DGX,2017-10-19T16:00:00Z,0.0125264118406029,0.3753226147740668,0.0195705385788287,0.1138649517313674
DGX,2017-07-25T11:45:00Z,0.012689416736336,0.3088196394330075,0.0187718066454657,0.0994052488271255
DGX,2017-04-20T17:00:00Z,0.0121044554101644,0.3438259420187828,0.0177042164231927,0.1072285374698038
DGX,2017-01-26T11:45:00Z,0.0121654387931207,0.3632364563520182,0.0213172168739991,0.0961123072931754
DGX,2016-10-20T16:00:00Z,0.0161495939461511,0.3963450345836984,0.021517329217006,0.1232831780366457
DGX,2016-07-25T16:00:00Z,0.0168460844320714,0.3939726034448882,0.0198880091890835,0.125518362630441
TDG,2021-05-11T20:38:21Z,0.0031499643490606,-0.1068564829181355,0.0097391523530889,0.0243275060870045
TDG,2021-02-09T22:01:54Z,-0.0006827428752275,-0.1106637147325347,0.0075076233713312,0.0226660672900137
TDG,2020-11-12T12:27:42Z,0.00318391123947,-0.1542255541850596,0.0095359758156745,0.0285349480402709
TDG,2020-08-04T11:18:36Z,-0.0002635125640668,-0.1837121759152774,0.0086638123667195,0.0266699284300825
TDG,2020-05-05T11:16:38Z,0.0163680693675402,-0.2159661566394258,0.0167018549562391,0.0407107714558329
TDG,2020-02-04T21:28:25Z,0.0039403715338591,-0.1424825101697134,0.0131625730252581,0.0329626828752192
TDG,2019-11-19T21:01:40Z,0.0093613580767371,-0.1041683988312359,0.0131355504754169,0.0318201033646568
TDG,2019-08-07T21:13:18Z,0.0056357861771812,-0.0513534391164388,0.0141357070103468,0.0381212949693927
TDG,2019-05-07T11:18:38Z,0.0084284763412427,-0.0621191631723373,0.0131405346379469,0.0307913019981915
TDG,2019-02-05T12:32:23Z,0.0097103868008818,-0.0942519829367813,0.0153553302247778,0.0351844176205643
TDG,2018-11-09T20:33:45Z,0.0116753565993732,-0.0922987713250179,0.0154079910791389,0.0345232085465263
TDG,2018-08-07T11:25:03Z,0.0120053047934843,-0.1159648140956839,0.0150862800976148,0.0336601428651418
TDG,2018-05-01T17:00:00Z,0.0122511918765595,-0.1441431576368134,0.0157255413227532,0.0348877754947272
TDG,2018-02-06T17:00:00Z,0.01812487615199,-0.1821908623450701,0.0142976015437507,0.033704637955444
TDG,2017-11-09T17:00:00Z,0.0067947019141246,-0.2223811323667254,0.0170538293975784,0.0372951628223636
TDG,2017-08-08T17:00:00Z,0.0120858819151296,-0.1355085354688933,0.0166150858103408,0.0376479173701433
TDG,2017-05-09T12:15:00Z,0.0133661405837439,-0.175238135372343,0.0176226546328412,0.040144695041727
TDG,2017-02-07T12:22:00Z,0.0017242091531634,-0.1411460953602187,0.0153695125839296,0.0351946368439055
TDG,2016-11-14T12:15:00Z,0.0124861501370487,-0.0423042621109266,0.0164625629128057,0.0364543857613241
TDG,2016-08-09T12:15:00Z,0.0115399660298529,-0.0580689722684103,0.0157113617969389,0.0355196592654043
LNC,2021-05-05T20:19:13Z,0.0189030229147509,1.646075235416517,0.0190705491060282,0.2644216197147767
LNC,2021-02-03T21:19:13Z,0.0147071229321857,2.334524359704092,0.0107503618106475,0.2814145344863171
LNC,2020-11-04T21:15:01Z,0.0657366244676563,3.5591922629485584,0.0520963185065938,0.5269591764412254
LNC,2020-08-05T20:24:54Z,-0.0132231826620791,2.9162744656123665,-0.0064290494606959,0.3646930153752829
LNC,2020-05-06T20:19:08Z,0.0101124426627964,3.2233410987663698,0.0181077252719405,0.7774015645875819
LNC,2020-02-05T21:47:26Z,0.0369120699235591,1.682318853529989,0.0358536449191613,0.2802516921199196
LNC,2019-10-30T20:21:54Z,-0.0133326453789899,1.6561464281641036,-0.0085769802669813,0.2993559578896809
LNC,2019-07-31T20:22:17Z,0.0278352370457403,1.4151495858929437,0.0316333866556885,0.2756897576416978
LNC,2019-05-01T20:28:13Z,0.0209920251527357,1.36756379735104,0.0213098380116568,0.2439884334879331
LNC,2019-02-06T21:20:23Z,0.0364049155450522,1.309299594164161,0.0378440425034865,0.3147212967977338
LNC,2018-11-02T01:19:58Z,0.0334228934961826,1.0279244999744328,0.0318343815687078,0.2251032799188962
LNC,2018-08-01T17:00:00Z,0.0282786665309505,1.1147670699746417,0.0296623305800048,0.2280150144585105
LNC,2018-05-02T16:00:00Z,0.0229701740228967,1.0004856451117292,0.0272195660823135,0.1844711791233944
LNC,2018-01-31T17:00:00Z,0.0484501360087287,1.029758596249325,0.029507116906577,0.1774809259479759
LNC,2017-11-01T17:00:00Z,0.0256887217582838,1.0025976238388583,0.0298625425224742,0.1796331135380864
LNC,2017-08-02T17:00:00Z,0.0271166553526856,1.055372309054888,0.0327581560552627,0.1939045382315633
LNC,2017-05-03T17:00:00Z,0.0295110967594403,1.0157923029404612,0.0303577620744443,0.1940472559459035
LNC,2017-02-01T17:00:00Z,0.0127420540273955,0.9558521150706352,0.0234669200061629,0.1881292891621172
LNC,2016-11-02T17:00:00Z,0.0427001687335568,1.4924943345564203,0.0517435024975978,0.2668995011698934
LNC,2016-08-03T17:00:00Z,0.0350733044340486,1.7180523279693989,0.0476834548345108,0.3080093433904889
IPG,2021-04-28T11:00:02Z,0.008038362870773,0.2519329868113604,0.0190243629729914,0.1739084132443974
IPG,2021-02-10T12:00:01Z,0.0122416286285219,0.3155789392659938,0.0469876324278155,0.2482255286739787
IPG,2020-10-21T11:00:10Z,0.0430306720720133,0.4188605927181394,0.0324802839602258,0.2354599029927015
IPG,2020-07-29T11:00:10Z,-0.0068204509130986,0.3665094938038811,0.0155179699077429,0.2074901098489435
IPG,2020-02-12T12:00:11Z,0.0367214766022602,0.3099274761332146,0.0433786079479369,0.2566803518420138
IPG,2019-10-22T11:00:12Z,0.0198358217672567,0.295740603522687,0.0240595420721987,0.2090504972424364
IPG,2019-07-23T11:00:16Z,0.0193864696835969,0.277232235198057,0.0219166353150802,0.2078822142305802
IPG,2019-04-26T11:00:01Z,-0.0009840332105833,0.2847915115579534,0.0071928183714821,0.2029113827806884
IPG,2019-02-13T12:01:17Z,0.0411392290181461,0.3018222038204396,0.040849237445632,0.2550621384886861
IPG,2018-10-19T11:01:43Z,0.018343036893008,0.2435750221960368,0.0241268774002448,0.2197918351588523
IPG,2018-07-24T11:01:20Z,0.0161344171611651,0.2281503968530459,0.023442682711042,0.2218844816314615
IPG,2018-04-27T22:00:00Z,-0.0015854466370499,0.2370861159021122,0.0036382414105055,0.2033945732867925
IPG,2018-02-14T17:00:00Z,0.0322043340724093,0.2822825398380231,0.048777129023292,0.2975807037562348
IPG,2017-10-24T15:51:00Z,0.0207557292525839,0.2462556586750297,0.0258066988648389,0.2245325154977832
IPG,2017-07-25T12:00:00Z,0.0110805783931867,0.2039670070983549,0.0200275953681439,0.1959548699896559
IPG,2017-04-21T16:00:00Z,0.0025600303138287,0.2034550407306043,0.0031279315173829,0.186572978773842
IPG,2017-02-10T12:00:00Z,0.034172572228512,0.2170324163795078,0.0475624101313378,0.2225311523603607
IPG,2016-10-27T17:00:00Z,0.0143593839627811,0.2167753345672101,0.0207675958196859,0.1906374053705843
IPG,2016-07-21T17:00:00Z,0.0168790258558506,0.2146831357421008,0.0211684930878934,0.1789292767442521
JNPR,2021-04-27T20:10:00Z,-0.0037537483829337,0.5346496410624817,0.0059513861397478,0.1236783224089967
JNPR,2021-01-28T21:19:09Z,0.0041496203391405,0.6121363639897699,0.0205641554755599,0.1572341243553442
JNPR,2020-10-27T20:15:10Z,0.0203851794961695,0.6394272809224916,0.0179562099024411,0.1624623061284458
