,Instrument,Common Equity - Total,Original Announcement Date Time
6618,A,4343000000.0,2016-08-17T17:00:00Z
6619,JKHY,1315443000.0,2021-05-03T21:28:41Z
6620,JKHY,1545179000.0,2021-02-08T21:01:05Z
6621,JKHY,1543750000.0,2020-11-04T21:02:03Z
6622,JKHY,1549688000.0,2020-08-18T20:05:06Z
6623,JKHY,1513863000.0,2020-05-04T21:35:33Z
6624,JKHY,1486746000.0,2020-02-04T21:11:31Z
6625,JKHY,1476660000.0,2019-11-04T21:12:36Z
6626,JKHY,1429013000.0,2019-08-20T20:35:35Z
6627,JKHY,1426003000.0,2019-04-30T20:01:07Z
6628,JKHY,1391955000.0,2019-02-05T21:01:08Z
6629,JKHY,1368564000.0,2018-11-06T21:05:57Z
6630,JKHY,1322844000.0,2018-08-21T20:35:48Z
6631,JKHY,1223085000.0,2018-05-01T17:00:00Z
6632,JKHY,1174000000.0,2018-02-06T17:00:00Z
6633,JKHY,1037813000.0,2017-11-07T17:00:00Z
6634,JKHY,1032051000.0,2017-08-15T17:00:00Z
6635,JKHY,1012112000.0,2017-05-08T17:00:00Z
6636,JKHY,971412000.0,2017-02-07T21:15:00Z
6637,JKHY,972589000.0,2016-11-07T17:00:00Z
6638,JKHY,996210000.0,2016-08-16T17:00:00Z
6639,AVGO,23939000000.0,2021-06-03T20:20:47Z
6640,AVGO,23973000000.0,2021-03-04T21:15:05Z
