Instrument,Original Announcement Date Time,e_p,b_p
HD,2020-08-18T10:00:02Z,0.015171224423030125,-0.001449881558433627
HD,2020-05-19T10:00:05Z,0.009562568293293258,-0.014865640687569475
HD,2020-02-25T11:26:03Z,0.00997112129920985,-0.012523181768777869
HD,2019-11-19T11:00:11Z,0.010653129137646834,-0.004162761187047264
HD,2019-08-20T10:00:04Z,0.014904100367116108,-0.004969461461872575
HD,2019-05-21T10:00:12Z,0.01136251644425185,-0.009689563366506851
HD,2019-02-26T11:22:33Z,0.011255646502361374,-0.009017962513410692
HD,2018-11-13T11:00:06Z,0.014549243458537331,0.006698640169260299
HD,2018-08-14T10:00:04Z,0.015417116045836695,0.008834280130087257
HD,2018-05-15T17:00:00Z,0.011184745770263054,0.00784886277638676
HD,2018-02-20T17:00:00Z,0.007351466097148166,0.006008449525156512
HD,2017-11-14T17:00:00Z,0.010975176940081599,0.012891397209527717
HD,2017-08-15T11:00:00Z,0.015092823693563802,0.020074811155286584
HD,2017-05-16T01:30:00Z,0.010741191327869515,0.0211303873093441
HD,2017-02-21T11:08:00Z,0.010349644277005202,0.025713881107949275
HD,2016-11-15T17:00:00Z,0.012895223528684475,0.03681917048159681
HD,2016-08-16T11:00:00Z,0.014194206625555825,0.03870988672934254
LVS,2021-04-21T20:05:09Z,-0.005989776527152725,0.05759234768733537
LVS,2021-01-27T21:10:05Z,-0.006567941590726383,0.06530598779006533
LVS,2020-10-21T20:24:08Z,-0.015853390877020156,0.0897610573727212
LVS,2020-07-22T20:03:01Z,-0.023576597960354405,0.106957249283559
LVS,2020-04-22T20:11:45Z,-3.0830321291773807e-05,0.1383973122787726
LVS,2020-01-29T21:01:11Z,0.011862274867789189,0.09782133503850957
LVS,2019-10-23T20:05:12Z,0.011987498913961565,0.12052721703549724
LVS,2019-07-24T20:05:07Z,0.020891265861579817,0.121756224518222
LVS,2019-04-17T20:05:05Z,0.01235402277158678,0.1172783089570738
LVS,2019-01-23T21:05:05Z,-0.004168301282580563,0.1393683793540466
LVS,2018-10-24T20:05:06Z,0.012213303437067922,0.1467735344748863
LVS,2018-07-25T17:00:00Z,0.009226317615557604,0.11878054225208873
LVS,2018-04-25T17:00:00Z,0.025669687553111695,0.12981175099832515
LVS,2018-01-24T16:00:00Z,0.022064262534411766,0.11807657326583722
LVS,2017-10-25T17:00:00Z,0.011207124341160406,0.11612865573898375
LVS,2017-07-26T17:00:00Z,0.01078667608481041,0.11701370412148729
LVS,2017-04-26T17:00:00Z,0.010614992220296042,0.13234533959483444
LVS,2017-01-25T17:00:00Z,0.012191064615676801,0.14551256232929913
LVS,2016-11-03T17:00:00Z,0.01122579525934142,0.13872435845117798
LVS,2016-07-25T17:00:00Z,0.009489120061877285,0.18596807391094047
IP,2021-04-29T11:22:09Z,0.016430818980397482,0.36524439441238876
IP,2021-02-04T12:16:27Z,0.007828206550749846,0.40184793627182536
IP,2020-10-29T11:17:11Z,0.012801217332290327,0.4450933065585063
IP,2020-07-31T17:10:32Z,0.01922106430733438,0.5099362812663862
IP,2020-04-30T11:08:57Z,-0.01151255680623685,0.5598695178749368
IP,2020-01-30T12:32:36Z,0.009137748949534221,0.427148228168227
IP,2019-11-01T18:10:31Z,0.020939327859203306,0.45293470523352264
IP,2019-07-25T11:22:37Z,0.01696440766847438,0.43468389786138806
IP,2019-04-25T11:21:08Z,0.02282393075348983,0.4008183688454841
IP,2019-01-31T12:29:18Z,0.019330824305436044,0.45035926752094985
IP,2018-10-25T11:24:31Z,0.027965267682264223,0.35031224997000027
IP,2018-07-26T11:21:46Z,0.018779661234836795,0.31735309010178525
IP,2018-04-26T17:00:00Z,0.03294912310681023,0.3274573345800276
IP,2018-02-01T17:00:00Z,0.06102581769137531,0.2726098513583217
IP,2017-10-25T16:00:00Z,0.016835852360375263,0.20944652784527604
IP,2017-07-27T17:00:00Z,0.003422595996149861,0.194446235031264
IP,2017-04-27T17:00:00Z,0.009968100212309747,0.21820123670486646
IP,2017-02-02T12:25:00Z,0.009991299484415685,0.19895518835710316
IP,2016-10-27T11:23:00Z,0.015813905816325153,0.21333567173369414
IP,2016-07-28T11:59:00Z,0.0022954774666714443,0.2309250331471473
TROW,2021-04-29T15:17:07Z,0.018690285882779087,0.2051755276305298
TROW,2021-02-11T18:58:29Z,0.02223475790131598,0.22482718334484686
TROW,2020-10-29T15:51:08Z,0.021484947186731284,0.24493114668257468
TROW,2020-07-29T14:34:13Z,0.020859512215023447,0.2402188828214923
TROW,2020-04-28T20:26:00Z,0.014643624311325766,0.2823406617293077
TROW,2020-01-29T13:08:55Z,0.01863985836862407,0.2494481592609855
TROW,2019-10-24T16:16:13Z,0.019767174958011054,0.2541419610485038
TROW,2019-07-24T16:23:39Z,0.01980055441623342,0.25359125473981176
TROW,2019-04-24T16:13:07Z,0.0210810592393885,0.266298168254165
TROW,2019-01-30T12:40:05Z,0.015442961117042008,0.27565528058612754
TROW,2018-10-25T11:35:50Z,0.021441300607379084,0.24331902788331736
TROW,2018-07-25T20:12:17Z,0.015596016741287943,0.21752601269680488
TROW,2018-04-25T17:00:00Z,0.016778252135575888,0.22347904824860154
TROW,2018-01-30T16:00:00Z,0.013340888934517157,0.2290762780371513
TROW,2017-10-26T17:00:00Z,0.017536814901903452,0.25371241239916853
TROW,2017-07-25T12:31:00Z,0.020408253071729957,0.2886756891804692
TROW,2017-04-25T12:30:00Z,0.02289283188492712,0.3034696129136071
TROW,2017-01-26T12:30:00Z,0.020272063820537593,0.2733835725674329
TROW,2016-10-27T16:00:00Z,0.0193904938273595,0.29244252734261345
TROW,2016-07-26T16:00:00Z,0.011004129205134725,0.2683892205380802
GD,2021-04-28T11:00:21Z,0.013807920737442385,0.2991716159779183
GD,2021-01-27T12:00:18Z,0.023462088565715022,0.3667063563150329
GD,2020-10-28T12:05:10Z,0.021030371195377918,0.37108266488151254
GD,2020-07-29T11:00:21Z,0.014917690366330137,0.33153075070132093
GD,2020-04-29T11:00:10Z,0.018702981653015854,0.3496874756654522
GD,2020-01-29T12:00:06Z,0.019992500011272115,0.2739756521152565
GD,2019-10-23T11:00:08Z,0.017270650495395355,0.2556169771569304
GD,2019-07-24T11:00:04Z,0.015345744218549175,0.2451701591839426
GD,2019-04-24T11:30:11Z,0.015240480965068276,0.25027120016999366
GD,2019-01-30T12:30:07Z,0.019524159091808553,0.25198837674928265
GD,2018-10-24T12:31:41Z,0.014030231990638896,0.2102886122686241
GD,2018-07-25T11:30:05Z,0.014195412389394556,0.21661549134656272
GD,2018-04-25T17:00:00Z,0.012134486031588657,0.1788128141876406
GD,2018-01-24T17:00:00Z,0.010469706673548728,0.1882407166855813
GD,2017-10-25T17:00:00Z,0.012409979475834458,0.18783900871537915
GD,2017-07-26T16:00:00Z,0.012532651982322974,0.18325447865207103
GD,2017-04-26T12:30:00Z,0.013435228541910845,0.1863499654771199
GD,2017-01-27T13:35:08Z,0.010840964936172766,0.195917157557045
GD,2016-10-26T12:30:00Z,0.013659278724419572,0.23892126325232813
GD,2016-07-27T16:00:00Z,0.01652772332972599,0.254513050434646
TSCO,2021-04-22T10:48:56Z,0.008744386737978069,0.08931271882820363
TSCO,2021-01-28T11:19:04Z,0.007941786578394587,0.11243203616800454
TSCO,2020-10-22T10:12:43Z,0.011780956049050438,0.11594089974244819
